Count,City,Country,Date,latitude,longitude
2,Karlsbad,Federal Republic of Germany,1982-10-21,50.231852,12.871962
1,Katmandu,Nepal,1977-11-09,27.717245,85.323961
1,Kerman,Iran,1979-01-14,30.283938,57.083363
1,Key Biscayne,United States,1972-03-27,25.693713,-80.162825
1,Key West,United States,1968-05-24,24.555059,-81.779987
1,Kfar Yuval,Israel,1975-06-15,33.246577,35.597063
11,Khartoum,Sudan,2008-01-01,15.500654,32.559899
3,Kholargos,Greece,2003-08-28,38.002648,23.798605
1,Khorramshahr,Iran,1978-10-10,30.425622,48.189118
4,Kingston,Jamaica,1980-07-04,18.017874,-76.809904
3,Kinshasa,Zaire (Belgian Congo),1996-11-02,-4.441931,15.266293
852,Kirkuk,Iraq,2008-12-11,35.465576,44.380392
6,Kiryat Shmona,Israel,2005-12-27,33.207933,35.570246
1,Klagenfurt,Austria,1968-03-15,46.63646,14.312225
1,Konstanz,Federal Republic of Germany,1978-11-11,47.67795,9.173238
5,Krakow,Poland,1993-07-02,50.06465,19.94498
8,Kuala Lumpur,Malaysia,1991-03-27,3.139003,101.686855
23,Kuwait City,Kuwait,2004-01-20,29.375859,47.977405
3,La Ceiba,Honduras,1989-07-13,15.770288,-86.791901
43,La Paz,Bolivia,2008-08-28,-16.489689,-68.119294
1,La Plata,Argentina,1973-07-07,-34.920495,-57.953566
1,La Spezia,Italy,1973-04-12,44.10245,9.824083
46,Lahore,Pakistan,2008-11-22,31.554606,74.357158
1,Las Palmas,Canary Islands,1977-01-03,28.123546,-15.436257
1,Lausanne,Switzerland,1981-07-21,46.519654,6.632273
1,Lavrion,Greece,1974-02-23,37.720531,24.0464
1,Leon,Nicaragua,1979-06-05,12.431553,-86.872215
1,Libreville,Gabon,1979-06-21,0.416198,9.467268
1,Liege,Belgium,1974-05-22,50.632557,5.579666
1,Lille,France,1977-04-27,50.62925,3.057256
235,Lima,Peru,2007-05-20,-12.046374,-77.042793
10,Limassol,Cyprus,2004-05-04,34.70713,33.022617
2,Limon,Costa Rica,1982-08-04,9.991311,-83.041508
35,Lisbon,Portugal,1988-12-14,38.722252,-9.139337
141,London,United Kingdom,2007-06-29,51.507351,-0.127758
55,Londonderry,Northern Ireland,2009-09-11,54.996612,-7.308575
1,Long Island,United States,1972-05-24,40.789142,-73.134961
39,Los Angeles,United States,2008-02-05,34.052234,-118.243685
2,Lourdes,France,1983-08-12,43.091463,-0.045726
12,Luanda,Angola,2001-09-25,-8.839988,13.289437
4,Lusaka,Zambia,1999-02-28,-15.387526,28.322817
2,Luxembourg City,Luxembourg,1983-02-28,49.611621,6.131935
16,Lyon,France,1998-11-15,45.764043,4.835659
1,Maalot,Israel,1979-01-14,33.015026,35.276017
135,Madrid,Spain,2009-02-09,40.416775,-3.70379
8,Maicao,Colombia,2008-05-30,11.378934,-72.248517
1,Mainz,Federal Republic of Germany,1975-10-08,49.992862,8.247253
1,Makale,Ethiopia,1977-04-26,13.46666,39.51666
3,Malatya,Turkey,2006-03-31,38.355363,38.333525
8,Managua,Nicaragua,1995-06-05,12.114993,-86.236174
15,Manama,Bahrain,2006-04-29,26.228516,50.58605
3,Manchester,United Kingdom,2004-01-05,53.480759,-2.242631
91,Manila,Philippines,2008-05-21,14.599512,120.98422
4,Mannheim,Federal Republic of Germany,1995-08-16,49.487459,8.466039
1,Manzini,Swaziland,1982-06-17,-26.644588,31.354163
3,Maputo,Mozambique,1993-07-04,-25.891968,32.605135
3,Mar del Plata,Argentina,2005-11-04,-38.005477,-57.542611
5,Maracaibo,Venezuela,2004-09-19,10.654451,-71.714795
2,Marbella,Spain,1984-09-14,36.510071,-4.882447
27,Marseille,France,2007-04-20,43.296482,5.36978
1,Masada,Israel,1968-02-24,32.844172,35.423166
2,Maseru,Lesotho,1983-06-30,-29.363219,27.51436
1,Mashad,Iran,1975-06-14,36.260462,59.616755
1,Mavumba,Mozambique,1982-09-21,,
5,Mazar-e-Sharif,Afghanistan,2005-12-14,36.692617,67.117951
5,Mecca,Saudi Arabia,2005-10-29,21.389082,39.857912
91,Medellin,Colombia,2005-11-07,6.253041,-75.564574
8,Melbourne,Australia,2001-07-16,-37.816279,144.964246
2,Mendoza,Argentina,1991-04-08,-32.889459,-68.845839
2,Merida,Mexico,1976-07-23,20.96737,-89.592586
2,Meshed,Iran,1994-06-20,36.260462,59.616755
29,Mexico City,Mexico,2007-04-03,19.432608,-99.133208
59,Miami,United States,2002-06-03,25.76168,-80.19179
64,Milan,Italy,2009-12-16,45.465422,9.185924
9,Mindanao,Philippines,2008-06-08,8.49613,123.303406
1,Minneapolis,United States,1979-11-09,44.922612,-93.261479
1,Mkuze,South Africa,1982-11-26,-27.617835,32.034023
1,Moenchengladbach,Federal Republic of Germany,1978-08-20,51.180457,6.442804
201,Mogadishu,Somalia,2009-10-28,2.046934,45.318162
1,Monchen-Gladbach,Federal Republic of Germany,1973-09-17,,
2,Monterey,Mexico,1996-04-11,25.686614,-100.316113
18,Montevideo,Uruguay,2006-04-16,-34.901113,-56.164531
7,Montreal,Canada,2004-04-05,45.501689,-73.567256
2,Moscow,USSR,1983-08-19,55.751389,37.534444
4,Moyale,Ethiopia,2003-05-20,3.539985,39.052841
3,Muenster,Federal Republic of Germany,1989-09-01,51.960665,7.626135
31,Munich,Federal Republic of Germany,1995-10-18,48.135125,11.581981
51,Nablus,West Bank/Gaza,2007-02-18,,
3,Nahariya,Israel,1995-06-23,33.008536,35.098051
2,Nahariyya,Israel,2001-09-09,33.008536,35.098051
5,Nairobi,Kenya,2007-07-11,-1.292066,36.821946
1,Nakasuji,Japan,1978-09-16,34.819899,135.374427
5,Nantes,France,2004-01-29,47.218371,-1.553621
4,Naples,Italy,2001-07-21,40.851775,14.268124
1,Neot Hakikar,Israel,1968-02-21,30.933368,35.378126
15,Netanya,Israel,2005-12-05,32.321458,34.853196
1,Neustadt,Federal Republic of Germany,1982-09-18,,
38,New Delhi,India,2008-09-27,28.613939,77.209021
1,New Orleans,United States,1968-11-04,29.951066,-90.071532
167,New York City,United States,2005-05-05,40.712784,-74.005941
13,Nice,France,2003-07-20,43.710173,7.261953
26,Nicosia,Cyprus,2003-01-13,35.185566,33.382276
3,Nimes,France,1999-05-10,43.836699,4.360054
2,Nouakchott,Mauritania,2004-10-02,18.07353,-15.958237
1,Nuevo Concepcion,Guatemala,1982-01-07,15.559732,-91.730767
3,Nuremburg,Federal Republic of Germany,1996-07-28,,
1,Oakland,United States,1969-06-17,37.804364,-122.271114
3,Oaxaca,Mexico,2006-05-19,17.059417,-96.721622
1,Offenbach,Federal Republic of Germany,1982-04-12,50.095636,8.776084
